Date,tripopen,tripclose,triplow,triphigh,tripvolume
2013-11-07,86.52999877929688,83.87999725341797,80.69000244140625,87.0,3475700
2013-11-08,84.08999633789062,84.4800033569336,83.16999816894531,85.9000015258789,1939800
2013-11-11,84.4000015258789,85.0199966430664,83.7699966430664,85.95999908447266,1754400
2013-11-12,84.94000244140625,84.9000015258789,83.6500015258789,85.22000122070312,1881000
2013-11-13,84.8499984741211,87.48999786376953,83.58000183105469,87.5999984741211,2465100
2013-11-14,87.62000274658203,89.18000030517578,87.16000366210938,89.18000030517578,2412000
2013-11-15,89.76000213623047,87.7699966430664,87.26000213623047,90.43000030517578,2300300
2013-11-18,87.63999938964844,87.41999816894531,86.5199966430664,89.20999908447266,1852400
2013-11-19,87.20999908447266,87.51000213623047,86.5999984741211,88.9800033569336,1376000
2013-11-20,87.91999816894531,87.12999725341797,86.73999786376953,88.55000305175781,915000
2013-11-21,87.2699966430664,87.2699966430664,87.0199966430664,88.37000274658203,1261700
2013-11-22,87.5,87.4000015258789,87.01000213623047,88.38999938964844,1082600
2013-11-25,87.87999725341797,86.61000061035156,86.06999969482422,88.47000122070312,1170900
2013-11-26,86.4800033569336,87.37999725341797,85.2300033569336,88.19999694824219,1703100
2013-11-27,87.37999725341797,88.30999755859375,87.29000091552734,88.94000244140625,740000
2013-11-29,88.69000244140625,88.31999969482422,88.2300033569336,89.45999908447266,431000
2013-12-02,88.25,87.54000091552734,86.9000015258789,89.56999969482422,1186100
2013-12-03,87.16999816894531,85.91999816894531,85.29000091552734,87.62000274658203,1430400
2013-12-04,85.31999969482422,85.12999725341797,84.5199966430664,86.83999633789062,1933100
2013-12-05,85.11000061035156,85.54000091552734,84.72000122070312,87.62999725341797,1473000
2013-12-06,86.76000213623047,85.61000061035156,84.66999816894531,87.97000122070312,1631800
2013-12-09,85.75,84.7699966430664,84.12999725341797,87.0,2298400
2013-12-10,84.81999969482422,84.9800033569336,84.5199966430664,85.9000015258789,1746800
2013-12-11,84.86000061035156,82.79000091552734,82.31999969482422,85.26000213623047,1754600
2013-12-12,82.83999633789062,82.5999984741211,82.12999725341797,83.91000366210938,2181200
2013-12-13,82.70999908447266,81.37999725341797,81.2699966430664,83.31999969482422,1596800
2013-12-16,82.05000305175781,81.88999938964844,81.54000091552734,83.19999694824219,1858900
2013-12-17,80.62999725341797,80.9000015258789,79.7300033569336,81.62999725341797,2356200
2013-12-18,80.9000015258789,81.41000366210938,78.66999816894531,81.5999984741211,3046000
2013-12-19,81.4000015258789,82.0199966430664,81.2699966430664,82.87999725341797,1413100
2013-12-20,82.44000244140625,83.12999725341797,81.62999725341797,83.69999694824219,6376000
2013-12-23,83.77999877929688,83.4000015258789,82.55000305175781,83.80000305175781,936900
2013-12-24,83.58000183105469,82.81999969482422,82.0999984741211,83.6500015258789,583800
2013-12-26,82.94999694824219,83.47000122070312,82.8499984741211,84.12000274658203,1369300
2013-12-27,83.81999969482422,81.63999938964844,81.44999694824219,83.88999938964844,892500
2013-12-30,81.45999908447266,81.66999816894531,80.76000213623047,81.9800033569336,801200
2013-12-31,81.83999633789062,82.83000183105469,81.37999725341797,82.88999938964844,814100
2014-01-02,82.4800033569336,80.4800033569336,79.4000015258789,82.5,1995600
2014-01-03,80.5,80.91999816894531,79.70999908447266,81.33999633789062,1284500
2014-01-06,80.81999969482422,80.37999725341797,79.3499984741211,81.08999633789062,1631100
2014-01-07,80.02999877929688,84.91000366210938,80.02999877929688,85.58000183105469,2535600
2014-01-08,84.76000213623047,85.1500015258789,84.27999877929688,85.62999725341797,1455400
2014-01-09,85.72000122070312,85.16999816894531,84.19000244140625,86.25,1389100
2014-01-10,85.4000015258789,86.80000305175781,85.1500015258789,86.80000305175781,2071500
2014-01-13,86.43000030517578,84.44999694824219,83.68000030517578,86.83000183105469,1885100
2014-01-14,82.87000274658203,84.30999755859375,82.36000061035156,84.68000030517578,1265500
2014-01-15,85.37999725341797,84.33999633789062,83.20999908447266,85.37999725341797,1197900
2014-01-16,84.26000213623047,84.76000213623047,83.2699966430664,84.87000274658203,1057300
2014-01-17,84.62999725341797,83.9000015258789,83.77999877929688,85.9000015258789,1364700
2014-01-21,84.66000366210938,81.5,81.26000213623047,85.16000366210938,1834600
2014-01-22,81.72000122070312,82.47000122070312,81.70999908447266,82.87000274658203,1898400
2014-01-23,82.06999969482422,81.33999633789062,80.73999786376953,82.1500015258789,1629500
2014-01-24,80.44000244140625,80.36000061035156,80.25,81.41999816894531,2297400
2014-01-27,80.33999633789062,77.91000366210938,77.05000305175781,80.79000091552734,2300700
2014-01-28,77.43000030517578,77.7699966430664,76.77999877929688,78.7300033569336,1719700
2014-01-29,77.06999969482422,76.66999816894531,76.22000122070312,78.0999984741211,1633600
2014-01-30,77.68000030517578,77.79000091552734,76.9000015258789,78.66999816894531,1198400
2014-01-31,76.16999816894531,77.19000244140625,75.55999755859375,78.12999725341797,1841100
2014-02-03,76.94000244140625,73.91000366210938,72.56999969482422,77.47000122070312,2128800
2014-02-04,74.11000061035156,76.37000274658203,73.69999694824219,76.5999984741211,2364900
2014-02-05,76.2699966430664,76.16000366210938,74.69000244140625,76.52999877929688,2018600
2014-02-06,76.22000122070312,77.13999938964844,75.08000183105469,77.33999633789062,2151500
2014-02-07,79.91000366210938,84.44999694824219,79.8499984741211,85.41999816894531,5212500
2014-02-10,84.05000305175781,84.05000305175781,82.37000274658203,84.76000213623047,2585300
2014-02-11,85.19000244140625,84.19999694824219,83.05999755859375,85.19000244140625,4589200
2014-02-12,87.94999694824219,90.2699966430664,87.5999984741211,93.12999725341797,9546600
2014-02-13,89.27999877929688,92.30000305175781,88.72000122070312,92.47000122070312,2880100
2014-02-14,91.94000244140625,91.25,90.94000244140625,92.29000091552734,2235900
2014-02-18,91.19000244140625,93.3499984741211,90.55999755859375,93.86000061035156,1989200
2014-02-19,92.87000274658203,93.76000213623047,92.83999633789062,95.0,1890200
2014-02-20,94.11000061035156,96.80000305175781,94.11000061035156,96.91000366210938,2303700
2014-02-21,96.8499984741211,96.91999816894531,96.22000122070312,97.97000122070312,1970500
2014-02-24,97.0,98.26000213623047,96.5,98.47000122070312,1307600
2014-02-25,98.58000183105469,101.04000091552734,97.81999969482422,102.69999694824219,2384300
2014-02-26,101.7300033569336,100.18000030517578,99.20999908447266,102.6500015258789,1879500
2014-02-27,100.19000244140625,99.72000122070312,99.55000305175781,100.80000305175781,1396200
2014-02-28,100.66000366210938,100.23999786376953,98.58000183105469,102.8499984741211,2071300
2014-03-03,98.80999755859375,100.55000305175781,98.19000244140625,100.69999694824219,1550400
2014-03-04,102.98999786376953,106.88999938964844,102.55000305175781,107.23999786376953,2646300
2014-03-05,106.73999786376953,107.30000305175781,105.8499984741211,107.77999877929688,2297300
2014-03-06,107.80999755859375,108.37999725341797,107.05000305175781,108.7300033569336,2442800
2014-03-07,109.37999725341797,108.05999755859375,106.52999877929688,109.45999908447266,2361500
2014-03-10,109.16000366210938,107.54000091552734,106.9000015258789,109.79000091552734,1478100
2014-03-11,107.95999908447266,104.7300033569336,104.0,107.95999908447266,1774900
2014-03-12,104.33999633789062,106.69000244140625,102.54000091552734,107.18000030517578,2186600
2014-03-13,107.27999877929688,103.20999908447266,102.11000061035156,107.7699966430664,1621700
2014-03-14,102.81999969482422,102.94999694824219,102.2300033569336,105.29000091552734,1618000
2014-03-17,104.80999755859375,104.52999877929688,104.45999908447266,106.9000015258789,1599000
2014-03-18,104.52999877929688,105.19999694824219,104.36000061035156,106.61000061035156,963400
2014-03-19,105.02999877929688,103.76000213623047,102.88999938964844,105.54000091552734,1338500
2014-03-20,103.68000030517578,103.36000061035156,102.58999633789062,105.25,1331500
2014-03-21,103.61000061035156,101.51000213623047,101.4000015258789,104.73999786376953,1865300
2014-03-24,101.8499984741211,97.58000183105469,96.05000305175781,102.66999816894531,2403900
2014-03-25,98.37999725341797,96.4800033569336,95.30999755859375,99.75,1677500
2014-03-26,97.0,92.70999908447266,92.41000366210938,97.04000091552734,2182500
2014-03-27,92.26000213623047,89.94999694824219,88.81999969482422,92.33999633789062,3591700
2014-03-28,89.63999938964844,90.05000305175781,89.08000183105469,92.13999938964844,2143700
2014-03-31,90.55999755859375,90.58999633789062,90.06999969482422,92.19000244140625,1645800
2014-04-01,91.2300033569336,95.55000305175781,90.75,95.77999877929688,2617500
2014-04-02,95.4000015258789,95.16000366210938,94.0199966430664,96.33000183105469,1681100
2014-04-03,95.26000213623047,91.30000305175781,90.81999969482422,96.18000030517578,1874100
2014-04-04,92.19000244140625,85.69000244140625,83.76000213623047,92.4800033569336,5284100
2014-04-07,85.22000122070312,83.36000061035156,80.58999633789062,85.48999786376953,4267100
2014-04-08,83.47000122070312,86.06999969482422,82.79000091552734,87.73999786376953,3630100
2014-04-09,86.18000030517578,88.11000061035156,85.12999725341797,88.61000061035156,2471800
2014-04-10,87.69000244140625,81.9000015258789,81.77999877929688,87.95999908447266,2852500
2014-04-11,80.2699966430664,78.98999786376953,77.68000030517578,82.91000366210938,3103000
2014-04-14,80.1500015258789,79.7699966430664,78.02999877929688,80.76000213623047,2133500
2014-04-15,80.44000244140625,83.30000305175781,80.04000091552734,84.08000183105469,3750300
2014-04-16,84.12000274658203,84.80000305175781,83.38999938964844,86.94000244140625,2340600
2014-04-17,84.30999755859375,85.68000030517578,83.68000030517578,86.63999938964844,2320200
2014-04-21,85.83000183105469,84.80000305175781,84.04000091552734,85.91000366210938,1241000
2014-04-22,85.11000061035156,85.7699966430664,85.01000213623047,87.30000305175781,1390900
2014-04-23,85.93000030517578,83.27999877929688,82.95999908447266,86.05000305175781,1322800
2014-04-24,84.37000274658203,83.4800033569336,81.37999725341797,84.45999908447266,2129400
2014-04-25,82.5999984741211,77.38999938964844,77.12000274658203,83.0,3627600
2014-04-28,78.33999633789062,77.27999877929688,75.12999725341797,80.55999755859375,4101300
2014-04-29,78.47000122070312,80.83000183105469,77.19000244140625,81.58000183105469,2930900
2014-04-30,80.11000061035156,80.73999786376953,78.91000366210938,81.33999633789062,2291600
2014-05-01,81.51000213623047,83.5,81.5,84.87999725341797,2373200
2014-05-02,83.62999725341797,82.5999984741211,82.20999908447266,85.56999969482422,2030200
2014-05-05,82.0199966430664,84.70999908447266,81.4000015258789,84.87000274658203,2783200
2014-05-06,85.22000122070312,81.37000274658203,80.41999816894531,85.93000030517578,5609100
2014-05-07,83.94999694824219,83.98999786376953,80.16000366210938,86.16000366210938,7148100
2014-05-08,82.26000213623047,83.22000122070312,81.62000274658203,85.94000244140625,3343100
2014-05-09,82.70999908447266,84.58000183105469,82.66999816894531,84.87999725341797,1872600
2014-05-12,85.4000015258789,89.51000213623047,85.06999969482422,90.70999908447266,4326700
2014-05-13,89.33999633789062,86.08999633789062,85.93000030517578,89.51000213623047,2402400
2014-05-14,86.12000274658203,84.19000244140625,84.06999969482422,86.95999908447266,2054700
2014-05-15,84.08000183105469,83.61000061035156,81.43000030517578,84.16999816894531,2521600
2014-05-16,83.44999694824219,82.16000366210938,80.2699966430664,83.73999786376953,3007200
2014-05-19,82.1500015258789,86.41000366210938,81.9000015258789,86.5999984741211,2177800
2014-05-20,86.05000305175781,85.87000274658203,85.13999938964844,88.58999633789062,2959500
2014-05-21,86.5199966430664,88.16000366210938,85.4000015258789,88.3499984741211,1659200
2014-05-22,88.38999938964844,91.01000213623047,87.16999816894531,91.33999633789062,2366300
2014-05-23,91.12999725341797,94.41999816894531,90.0999984741211,94.93000030517578,2531000
2014-05-27,94.77999877929688,95.41999816894531,94.16999816894531,96.75,1978500
2014-05-28,95.04000091552734,95.19000244140625,94.19999694824219,96.0,1563900
2014-05-29,95.91999816894531,98.19999694824219,95.55000305175781,98.36000061035156,1770100
2014-05-30,98.38999938964844,97.16999816894531,96.37999725341797,98.62000274658203,1884100
2014-06-02,99.97000122070312,97.7699966430664,97.26000213623047,100.0,1674900
2014-06-03,97.22000122070312,98.0,95.81999969482422,98.30999755859375,1620000
2014-06-04,97.6500015258789,99.3499984741211,96.2699966430664,99.58999633789062,1464000
2014-06-05,99.5,103.02999877929688,98.7699966430664,103.31999969482422,3390100
2014-06-06,103.13999938964844,104.05000305175781,102.0999984741211,104.47000122070312,2085900
2014-06-09,104.05000305175781,103.69999694824219,103.06999969482422,104.19999694824219,1890600
2014-06-10,103.81999969482422,102.68000030517578,102.22000122070312,104.55999755859375,1416200
2014-06-11,102.43000030517578,103.5199966430664,101.37999725341797,104.12000274658203,1376400
2014-06-12,104.08000183105469,101.72000122070312,101.13999938964844,104.25,1760300
2014-06-13,103.19000244140625,101.9800033569336,100.76000213623047,103.93000030517578,2106200
2014-06-16,102.0,103.97000122070312,101.2699966430664,104.11000061035156,1595900
2014-06-17,104.27999877929688,104.56999969482422,104.05000305175781,106.5,1620600
2014-06-18,104.68000030517578,105.23999786376953,103.02999877929688,105.38999938964844,1216000
2014-06-19,105.87999725341797,102.9800033569336,101.75,106.0,1237000
2014-06-20,103.30999755859375,103.52999877929688,102.5,104.61000061035156,2072800
2014-06-23,103.69000244140625,103.87000274658203,102.16999816894531,104.30999755859375,1225300
2014-06-24,103.58999633789062,104.68000030517578,103.20999908447266,107.43000030517578,2149100
2014-06-25,104.30000305175781,108.5,104.02999877929688,108.62999725341797,1605400
2014-06-26,108.19999694824219,107.87000274658203,106.5999984741211,108.87999725341797,1680100
2014-06-27,107.66000366210938,110.20999908447266,107.0199966430664,110.4000015258789,1586300
2014-06-30,110.01000213623047,108.66000366210938,108.0199966430664,111.23999786376953,1770100
2014-07-01,109.12999725341797,109.01000213623047,107.9000015258789,109.79000091552734,1702700
2014-07-02,109.0,108.12000274658203,107.69000244140625,110.22000122070312,880900
2014-07-03,108.91999816894531,109.18000030517578,107.76000213623047,109.4800033569336,952200
2014-07-07,109.08000183105469,107.41000366210938,107.23999786376953,109.13999938964844,1056300
2014-07-08,107.63999938964844,101.44999694824219,100.61000061035156,107.63999938964844,2826100
2014-07-09,102.01000213623047,103.5199966430664,101.47000122070312,103.58999633789062,1921000
2014-07-10,100.87999725341797,103.3499984741211,100.44000244140625,104.36000061035156,1357500
2014-07-11,103.63999938964844,104.77999877929688,103.33999633789062,105.33999633789062,916500
2014-07-14,103.98999786376953,104.05000305175781,101.55000305175781,104.20999908447266,2520000
2014-07-15,104.33999633789062,102.68000030517578,101.77999877929688,104.48999786376953,1234100
2014-07-16,103.31999969482422,101.95999908447266,101.5,104.76000213623047,1201400
2014-07-17,101.25,101.1500015258789,100.76000213623047,103.73999786376953,1519800
2014-07-18,102.05000305175781,104.16999816894531,101.58000183105469,104.30999755859375,1117900
2014-07-21,103.56999969482422,103.13999938964844,101.45999908447266,104.11000061035156,1223000
2014-07-22,104.37999725341797,104.16999816894531,103.16999816894531,105.33000183105469,1483800
2014-07-23,103.6500015258789,107.36000061035156,103.6500015258789,107.66999816894531,3960100
2014-07-24,97.0,101.79000091552734,95.26000213623047,102.98999786376953,10669900
2014-07-25,101.80999755859375,99.87999725341797,98.11000061035156,102.86000061035156,2506700
2014-07-28,100.13999938964844,99.30000305175781,98.80000305175781,100.80000305175781,1644400
2014-07-29,99.45999908447266,99.20999908447266,98.87000274658203,100.11000061035156,1305600
2014-07-30,99.9800033569336,100.0199966430664,98.88999938964844,100.44000244140625,1220800
2014-07-31,98.94000244140625,94.83999633789062,94.16999816894531,98.94000244140625,2465600
2014-08-01,94.48999786376953,93.87000274658203,91.77999877929688,95.25,2416800
2014-08-04,94.16000366210938,94.79000091552734,93.87999725341797,95.75,1527700
2014-08-05,94.31999969482422,94.06999969482422,93.3499984741211,95.4000015258789,1225700
2014-08-06,93.44000244140625,94.02999877929688,93.2699966430664,95.61000061035156,909300
2014-08-07,94.44999694824219,94.44999694824219,94.05000305175781,96.63999938964844,1144200
2014-08-08,94.91999816894531,95.29000091552734,93.73999786376953,95.48999786376953,875600
2014-08-11,95.62000274658203,95.62999725341797,94.33999633789062,96.30999755859375,1061900
2014-08-12,95.79000091552734,94.75,93.87000274658203,96.73999786376953,1053700
2014-08-13,95.58999633789062,96.83999633789062,94.91999816894531,97.62999725341797,1146900
2014-08-14,96.83999633789062,96.97000122070312,96.04000091552734,97.3499984741211,850500
2014-08-15,98.25,97.0999984741211,95.77999877929688,98.5,1352100
2014-08-18,97.55999755859375,97.95999908447266,97.26000213623047,98.5,743600
2014-08-19,98.0,97.37000274658203,96.12999725341797,98.38999938964844,1066300
2014-08-20,97.45999908447266,98.1500015258789,96.54000091552734,98.38999938964844,1109500
2014-08-21,98.0199966430664,97.9000015258789,96.94999694824219,98.1500015258789,861600
2014-08-22,98.2699966430664,101.98999786376953,97.05000305175781,103.0999984741211,2013700
2014-08-25,102.52999877929688,103.79000091552734,102.08000183105469,104.19000244140625,1981200
2014-08-26,104.33000183105469,104.51000213623047,103.55999755859375,105.22000122070312,1110700
2014-08-27,104.06999969482422,101.77999877929688,101.55000305175781,104.44000244140625,1153000
2014-08-28,101.1500015258789,99.37000274658203,98.25,101.25,2186400
2014-08-29,99.70999908447266,99.08999633789062,98.70999908447266,100.77999877929688,1154400
2014-09-02,99.58999633789062,99.44000244140625,98.44999694824219,99.95999908447266,1425200
2014-09-03,100.13999938964844,98.27999877929688,98.05000305175781,100.2300033569336,982700
2014-09-04,98.13999938964844,98.29000091552734,97.5,99.04000091552734,1468000
2014-09-05,99.4000015258789,98.26000213623047,97.81999969482422,99.5,1701300
2014-09-08,98.11000061035156,99.2300033569336,97.94999694824219,99.41999816894531,1737900
2014-09-09,99.0,96.37000274658203,96.3499984741211,100.0,2855900
