Date,astcopen,astcclose,astclow,astchigh,astcvolume
2016-10-10,8.550000190734863,8.699999809265137,8.550000190734863,9.050000190734863,4200.0
2016-10-11,8.600000381469727,8.25,8.050000190734863,8.850000381469727,5300.0
2016-10-12,8.350000381469727,8.25,8.25,8.699999809265137,6700.0
2016-10-13,8.100000381469727,8.649999618530273,8.100000381469727,8.699999809265137,7200.0
2016-10-14,8.649999618530273,8.550000190734863,8.300000190734863,8.699999809265137,1700.0
2016-10-17,8.449999809265137,8.350000381469727,8.350000381469727,8.649999618530273,1000.0
2016-10-18,8.300000190734863,8.25,8.199999809265137,8.449999809265137,2900.0
2016-10-19,8.199999809265137,8.149999618530273,8.100000381469727,8.5,6100.0
2016-10-20,8.199999809265137,8.399999618530273,8.149999618530273,8.449999809265137,500.0
2016-10-21,8.5,8.300000190734863,8.199999809265137,8.5,2100.0
2016-10-24,8.300000190734863,8.350000381469727,8.149999618530273,8.449999809265137,2200.0
2016-10-25,8.5,8.25,8.25,8.5,600.0
2016-10-26,8.149999618530273,8.449999809265137,8.149999618530273,8.449999809265137,1500.0
2016-10-27,8.199999809265137,8.5,8.199999809265137,8.699999809265137,3300.0
2016-10-28,8.800000190734863,8.899999618530273,8.699999809265137,9.5,9500.0
2016-10-31,9.0,9.100000381469727,8.800000190734863,9.5,3500.0
2016-11-01,9.100000381469727,8.649999618530273,8.649999618530273,9.100000381469727,5300.0
2016-11-02,8.600000381469727,8.300000190734863,8.25,8.699999809265137,3700.0
2016-11-03,8.300000190734863,8.300000190734863,8.149999618530273,8.649999618530273,6000.0
2016-11-04,8.25,7.800000190734863,7.800000190734863,8.399999618530273,6500.0
2016-11-07,7.949999809265137,8.050000190734863,7.949999809265137,8.399999618530273,4100.0
2016-11-08,8.0,8.149999618530273,7.949999809265137,8.399999618530273,5200.0
2016-11-09,8.050000190734863,7.900000095367432,7.849999904632568,8.149999618530273,5300.0
2016-11-10,7.75,8.149999618530273,7.75,8.199999809265137,3600.0
2016-11-11,8.199999809265137,7.75,7.75,8.199999809265137,6100.0
2016-11-14,7.75,8.100000381469727,7.75,8.100000381469727,3300.0
2016-11-15,8.050000190734863,8.199999809265137,7.949999809265137,8.199999809265137,2000.0
2016-11-16,8.199999809265137,8.100000381469727,7.900000095367432,8.25,4800.0
2016-11-17,7.900000095367432,8.050000190734863,7.849999904632568,8.199999809265137,5700.0
2016-11-18,7.949999809265137,8.399999618530273,7.949999809265137,9.199999809265137,5200.0
2016-11-21,8.5,8.350000381469727,8.0,8.5,3100.0
2016-11-22,8.199999809265137,8.149999618530273,8.0,8.449999809265137,8900.0
2016-11-23,8.100000381469727,8.25,8.050000190734863,8.300000190734863,2400.0
2016-11-25,8.350000381469727,8.600000381469727,8.300000190734863,8.600000381469727,800.0
2016-11-28,8.600000381469727,8.149999618530273,8.050000190734863,8.600000381469727,6500.0
2016-11-29,8.350000381469727,8.199999809265137,7.900000095367432,8.5,2800.0
2016-11-30,8.25,8.199999809265137,8.050000190734863,8.5,2400.0
2016-12-01,8.199999809265137,7.900000095367432,7.849999904632568,8.25,10200.0
2016-12-02,8.050000190734863,8.199999809265137,7.900000095367432,8.199999809265137,1000.0
2016-12-05,8.050000190734863,7.800000190734863,7.800000190734863,8.149999618530273,5300.0
2016-12-06,8.149999618530273,7.900000095367432,7.849999904632568,8.149999618530273,6300.0
2016-12-07,8.050000190734863,7.949999809265137,7.849999904632568,8.050000190734863,13200.0
2016-12-08,7.949999809265137,7.849999904632568,7.849999904632568,8.0,6000.0
2016-12-09,8.050000190734863,8.0,7.5,8.050000190734863,10400.0
2016-12-12,7.849999904632568,7.900000095367432,7.800000190734863,8.199999809265137,5900.0
2016-12-13,7.75,7.599999904632568,7.550000190734863,8.0,8300.0
2016-12-14,7.449999809265137,7.75,7.449999809265137,8.0,10900.0
2016-12-15,8.0,7.849999904632568,7.599999904632568,8.050000190734863,6900.0
2016-12-16,7.699999809265137,7.5,7.5,7.900000095367432,5700.0
2016-12-19,7.650000095367432,7.599999904632568,7.5,7.699999809265137,1700.0
2016-12-20,7.5,7.550000190734863,7.449999809265137,7.75,4100.0
2016-12-21,7.5,7.400000095367432,7.400000095367432,7.5,4400.0
2016-12-22,7.400000095367432,7.300000190734863,7.300000190734863,7.449999809265137,1000.0
2016-12-23,7.449999809265137,7.5,7.300000190734863,7.5,1100.0
2016-12-27,7.599999904632568,7.449999809265137,7.0,7.599999904632568,17100.0
2016-12-28,7.5,7.599999904632568,7.349999904632568,7.650000095367432,13800.0
2016-12-29,7.550000190734863,7.699999809265137,7.550000190734863,7.849999904632568,1800.0
2016-12-30,7.699999809265137,7.5,7.099999904632568,7.800000190734863,4000.0
2017-01-03,7.400000095367432,7.25,7.199999809265137,7.550000190734863,6000.0
2017-01-04,7.150000095367432,6.800000190734863,6.75,7.5,12400.0
2017-01-05,7.300000190734863,7.099999904632568,6.849999904632568,7.300000190734863,3900.0
2017-01-06,7.099999904632568,7.0,6.949999809265137,7.25,5800.0
2017-01-09,7.099999904632568,6.949999809265137,6.400000095367432,7.199999809265137,14500.0
2017-01-10,7.050000190734863,6.949999809265137,6.849999904632568,7.400000095367432,37700.0
2017-01-11,7.050000190734863,7.099999904632568,7.050000190734863,7.150000095367432,2900.0
2017-01-12,7.099999904632568,7.050000190734863,6.75,7.25,8400.0
2017-01-13,7.449999809265137,7.199999809265137,6.75,7.449999809265137,4300.0
2017-01-17,7.300000190734863,7.449999809265137,6.900000095367432,7.449999809265137,2400.0
2017-01-18,7.349999904632568,7.349999904632568,6.75,7.400000095367432,13000.0
2017-01-19,7.050000190734863,7.400000095367432,6.949999809265137,8.149999618530273,27300.0
2017-01-20,7.349999904632568,7.5,6.900000095367432,7.949999809265137,24600.0
2017-01-23,7.599999904632568,7.699999809265137,7.599999904632568,8.100000381469727,2700.0
2017-01-24,7.75,7.900000095367432,7.0,7.900000095367432,17600.0
2017-01-25,7.800000190734863,8.0,7.25,8.300000190734863,17600.0
2017-01-26,7.75,7.5,7.5,8.199999809265137,18600.0
2017-01-27,7.449999809265137,7.650000095367432,7.400000095367432,8.0,7800.0
2017-01-30,7.550000190734863,7.449999809265137,7.300000190734863,7.599999904632568,3400.0
2017-01-31,7.349999904632568,7.150000095367432,7.0,7.599999904632568,8200.0
2017-02-01,7.099999904632568,7.699999809265137,6.949999809265137,8.149999618530273,16600.0
2017-02-02,7.199999809265137,7.650000095367432,7.199999809265137,7.849999904632568,2000.0
2017-02-03,7.75,7.849999904632568,7.400000095367432,7.849999904632568,2100.0
2017-02-06,7.75,7.5,7.099999904632568,8.199999809265137,13800.0
2017-02-07,7.199999809265137,7.400000095367432,7.199999809265137,8.199999809265137,15500.0
2017-02-08,7.599999904632568,7.949999809265137,7.599999904632568,9.0,43900.0
2017-02-09,8.0,7.5,7.349999904632568,8.399999618530273,18700.0
2017-02-10,7.0,7.650000095367432,7.0,7.699999809265137,17100.0
2017-02-13,7.599999904632568,7.650000095367432,7.349999904632568,7.650000095367432,2700.0
2017-02-14,7.599999904632568,7.349999904632568,7.25,7.75,18100.0
2017-02-15,7.25,7.599999904632568,7.099999904632568,7.650000095367432,5200.0
2017-02-16,7.650000095367432,7.949999809265137,7.599999904632568,8.649999618530273,41800.0
2017-02-17,7.599999904632568,7.75,7.550000190734863,8.050000190734863,6600.0
2017-02-21,7.699999809265137,7.949999809265137,7.699999809265137,8.199999809265137,21000.0
2017-02-22,8.0,8.0,7.900000095367432,8.149999618530273,1400.0
2017-02-23,7.949999809265137,7.5,7.5,8.050000190734863,4200.0
2017-02-24,7.550000190734863,7.599999904632568,7.550000190734863,8.050000190734863,2600.0
2017-02-27,7.699999809265137,8.050000190734863,7.650000095367432,8.050000190734863,3000.0
2017-02-28,8.0,7.949999809265137,7.650000095367432,8.149999618530273,3400.0
2017-03-01,8.050000190734863,7.849999904632568,7.849999904632568,8.149999618530273,2900.0
2017-03-02,7.900000095367432,7.5,7.349999904632568,7.900000095367432,12000.0
2017-03-03,7.599999904632568,7.650000095367432,7.150000095367432,7.699999809265137,8300.0
2017-03-06,8.100000381469727,7.599999904632568,7.150000095367432,8.100000381469727,17200.0
2017-03-07,7.400000095367432,7.300000190734863,7.0,7.5,11500.0
2017-03-08,7.199999809265137,7.0,6.949999809265137,7.550000190734863,20600.0
2017-03-09,7.0,7.0,6.5,7.050000190734863,13900.0
2017-03-10,6.800000190734863,6.849999904632568,6.800000190734863,7.5,40300.0
2017-03-13,6.75,6.550000190734863,6.5,6.800000190734863,12200.0
2017-03-14,6.5,6.5,6.0,6.75,13300.0
2017-03-15,6.349999904632568,6.800000190734863,6.0,6.949999809265137,12700.0
2017-03-16,6.75,6.849999904632568,6.449999809265137,6.900000095367432,1900.0
2017-03-17,6.849999904632568,6.800000190734863,6.349999904632568,6.849999904632568,7000.0
2017-03-20,6.800000190734863,6.849999904632568,6.5,7.199999809265137,12800.0
2017-03-21,7.0,6.599999904632568,6.400000095367432,7.0,7100.0
2017-03-22,6.599999904632568,6.349999904632568,6.25,6.650000095367432,22000.0
2017-03-23,6.25,6.300000190734863,6.25,6.599999904632568,3500.0
2017-03-24,6.449999809265137,6.449999809265137,6.449999809265137,6.5,500.0
2017-03-27,6.449999809265137,6.550000190734863,6.449999809265137,6.599999904632568,2900.0
2017-03-28,6.599999904632568,6.449999809265137,6.449999809265137,6.75,1300.0
2017-03-29,6.599999904632568,6.550000190734863,6.449999809265137,6.650000095367432,2000.0
2017-03-30,6.75,6.650000095367432,6.449999809265137,6.75,4300.0
2017-03-31,6.599999904632568,6.550000190734863,6.5,6.800000190734863,3400.0
2017-04-03,6.599999904632568,6.400000095367432,6.099999904632568,6.599999904632568,10600.0
2017-04-04,6.300000190734863,6.25,6.150000095367432,6.400000095367432,5300.0
