Date,shpgfopen,shpgfclose,shpgflow,shpgfhigh,shpgfvolume
2010-08-19,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,0.0
2010-08-20,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,0.0
2010-08-23,23.200000762939453,23.200000762939453,23.200000762939453,23.200000762939453,0.0
2010-08-24,21.75,21.75,21.75,21.75,200.0
2010-08-25,21.75,21.75,21.75,21.75,0.0
2010-08-26,21.75,21.75,21.75,21.75,0.0
2010-08-27,21.5,21.5,21.5,21.5,200.0
2010-08-30,21.399999618530273,21.399999618530273,21.399999618530273,21.399999618530273,700.0
2010-08-31,21.399999618530273,21.399999618530273,21.399999618530273,21.399999618530273,0.0
2010-09-01,21.399999618530273,21.399999618530273,21.399999618530273,21.399999618530273,0.0
2010-09-02,22.149999618530273,22.149999618530273,22.149999618530273,22.149999618530273,1300.0
2010-09-03,22.200000762939453,22.200000762939453,22.200000762939453,22.200000762939453,3000.0
2010-09-07,22.0,22.0,22.0,22.0,600.0
2010-09-08,22.0,22.0,22.0,22.0,0.0
2010-09-09,22.5,22.5,22.5,22.5,4600.0
2010-09-10,22.75,22.75,22.75,22.75,200.0
2010-09-13,23.219999313354492,23.200000762939453,23.200000762939453,23.290000915527344,1500.0
2010-09-14,22.950000762939453,23.200000762939453,22.950000762939453,23.200000762939453,2800.0
2010-09-15,23.399999618530273,23.5,23.399999618530273,23.649999618530273,5600.0
2010-09-16,23.5,23.5,23.5,23.5,0.0
2010-09-17,23.5,23.5,23.5,23.5,0.0
2010-09-20,23.5,23.5,23.5,23.5,0.0
2010-09-21,23.5,23.5,23.5,23.5,0.0
2010-09-22,23.5,23.5,23.5,23.5,0.0
2010-09-23,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,1700.0
2010-09-24,22.549999237060547,22.549999237060547,22.549999237060547,22.549999237060547,0.0
2010-09-27,22.950000762939453,22.950000762939453,22.950000762939453,22.950000762939453,500.0
2010-09-28,23.149999618530273,23.049999237060547,23.049999237060547,23.149999618530273,1500.0
2010-09-29,22.850000381469727,22.850000381469727,22.850000381469727,22.850000381469727,2000.0
2010-09-30,22.850000381469727,22.850000381469727,22.850000381469727,22.850000381469727,0.0
2010-10-01,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,100.0
2010-10-04,22.0,22.0,22.0,22.0,100.0
2010-10-05,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,300.0
2010-10-06,22.5,22.5,22.5,22.5,700.0
2010-10-07,22.350000381469727,22.350000381469727,22.350000381469727,22.350000381469727,800.0
2010-10-08,22.600000381469727,22.75,22.600000381469727,22.75,1300.0
2010-10-11,22.75,22.75,22.75,22.75,0.0
2010-10-12,22.75,22.75,22.75,22.75,0.0
2010-10-13,23.25,23.350000381469727,23.25,23.350000381469727,700.0
2010-10-14,23.350000381469727,23.350000381469727,23.350000381469727,23.350000381469727,0.0
2010-10-15,23.75,23.75,23.75,23.75,400.0
2010-10-18,23.75,23.75,23.75,23.75,300.0
2010-10-19,23.75,23.75,23.75,23.75,0.0
2010-10-20,23.75,23.75,23.75,23.75,300.0
2010-10-21,23.100000381469727,23.100000381469727,23.100000381469727,23.100000381469727,500.0
2010-10-22,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,200.0
2010-10-25,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,300.0
2010-10-26,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,0.0
2010-10-27,22.75,22.75,22.75,22.75,500.0
2010-10-28,22.75,22.75,22.75,22.75,0.0
2010-10-29,23.5,23.5,23.5,23.5,700.0
2010-11-01,23.75,23.450000762939453,23.450000762939453,23.75,3300.0
2010-11-02,24.049999237060547,24.049999237060547,24.049999237060547,24.049999237060547,2400.0
2010-11-03,23.799999237060547,23.799999237060547,23.799999237060547,23.799999237060547,200.0
2010-11-04,24.200000762939453,24.25,24.200000762939453,24.25,7100.0
2010-11-05,24.5,24.5,24.5,24.5,2000.0
2010-11-08,24.1299991607666,24.1299991607666,24.1299991607666,24.1299991607666,2100.0
2010-11-09,23.549999237060547,23.549999237060547,23.549999237060547,23.549999237060547,300.0
2010-11-10,23.549999237060547,23.549999237060547,23.549999237060547,23.549999237060547,0.0
2010-11-11,24.049999237060547,24.100000381469727,24.049999237060547,24.100000381469727,1500.0
2010-11-12,24.100000381469727,24.100000381469727,24.100000381469727,24.100000381469727,0.0
2010-11-15,24.399999618530273,24.399999618530273,24.399999618530273,24.399999618530273,1000.0
2010-11-16,24.399999618530273,24.399999618530273,24.399999618530273,24.399999618530273,0.0
2010-11-17,23.950000762939453,23.950000762939453,23.950000762939453,23.950000762939453,700.0
2010-11-18,24.5,24.5,24.5,24.5,300.0
2010-11-19,24.5,24.5,24.5,24.5,0.0
2010-11-22,24.5,24.5,24.5,24.5,0.0
2010-11-23,24.5,24.5,24.5,24.5,0.0
2010-11-24,24.25,24.25,24.25,24.25,300.0
2010-11-26,24.350000381469727,24.450000762939453,24.350000381469727,24.450000762939453,9900.0
2010-11-29,23.600000381469727,23.600000381469727,23.600000381469727,23.600000381469727,200.0
2010-11-30,23.399999618530273,23.399999618530273,23.399999618530273,23.399999618530273,300.0
2010-12-01,23.399999618530273,23.399999618530273,23.399999618530273,23.399999618530273,0.0
2010-12-02,23.5,23.850000381469727,23.5,23.850000381469727,900.0
2010-12-03,23.850000381469727,23.850000381469727,23.850000381469727,23.850000381469727,0.0
2010-12-06,23.850000381469727,23.850000381469727,23.850000381469727,23.850000381469727,0.0
2010-12-07,23.700000762939453,23.700000762939453,23.700000762939453,23.700000762939453,800.0
2010-12-08,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,400.0
2010-12-09,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,0.0
2010-12-10,23.25,23.25,23.25,23.299999237060547,2500.0
2010-12-13,23.450000762939453,23.5,23.450000762939453,23.549999237060547,1500.0
2010-12-14,23.5,23.5,23.5,23.5,0.0
2010-12-15,23.5,23.5,23.5,23.5,0.0
2010-12-16,23.649999618530273,23.850000381469727,23.649999618530273,23.850000381469727,900.0
2010-12-17,23.850000381469727,23.850000381469727,23.850000381469727,23.850000381469727,0.0
2010-12-20,23.600000381469727,23.399999618530273,23.399999618530273,23.600000381469727,800.0
2010-12-21,23.350000381469727,23.350000381469727,23.350000381469727,23.350000381469727,400.0
2010-12-22,23.350000381469727,23.350000381469727,23.350000381469727,23.350000381469727,0.0
2010-12-23,23.399999618530273,23.399999618530273,23.399999618530273,23.399999618530273,200.0
2010-12-27,23.25,23.25,23.25,23.25,200.0
2010-12-28,23.399999618530273,23.450000762939453,23.399999618530273,23.450000762939453,1300.0
2010-12-29,23.649999618530273,23.649999618530273,23.649999618530273,23.649999618530273,2200.0
2010-12-30,23.649999618530273,23.649999618530273,23.649999618530273,23.649999618530273,0.0
