Date,mlmopen,mlmclose,mlmlow,mlmhigh,mlmvolume
2014-08-28,129.61000061035156,130.55999755859375,128.8800048828125,131.2100067138672,497800.0
2014-08-29,130.82000732421875,130.9600067138672,129.83999633789062,131.19000244140625,344400.0
2014-09-02,131.08999633789062,129.82000732421875,128.86000061035156,131.08999633789062,729500.0
2014-09-03,131.02000427246094,129.47000122070312,128.27999877929688,131.4199981689453,715300.0
2014-09-04,129.67999267578125,130.75,129.4600067138672,131.88999938964844,776100.0
2014-09-05,130.8300018310547,132.19000244140625,130.3000030517578,132.82000732421875,927800.0
2014-09-08,132.25999450683594,131.5,130.82000732421875,133.02000427246094,836600.0
2014-09-09,131.36000061035156,130.9199981689453,130.10000610351562,131.9600067138672,681200.0
2014-09-10,130.75,130.77000427246094,129.75,131.32000732421875,584100.0
2014-09-11,130.11000061035156,131.30999755859375,130.11000061035156,131.36000061035156,610200.0
2014-09-12,131.27999877929688,129.22000122070312,128.25,131.27999877929688,693500.0
2014-09-15,129.25999450683594,128.07000732421875,127.9800033569336,129.25999450683594,494800.0
2014-09-16,127.45999908447266,128.3699951171875,126.86000061035156,128.7100067138672,368100.0
2014-09-17,129.08999633789062,128.39999389648438,128.0500030517578,130.3000030517578,775600.0
2014-09-18,129.3699951171875,128.2899932861328,127.48999786376953,129.3699951171875,759200.0
2014-09-19,128.32000732421875,128.42999267578125,127.19000244140625,128.8300018310547,1512800.0
2014-09-22,128.3000030517578,128.61000061035156,127.9000015258789,129.8699951171875,795900.0
2014-09-23,127.75,130.0,127.2699966430664,130.1199951171875,974900.0
2014-09-24,129.4499969482422,132.25,129.1999969482422,132.30999755859375,1299500.0
2014-09-25,132.2899932861328,130.6300048828125,130.16000366210938,132.39999389648438,678600.0
2014-09-26,130.50999450683594,130.72999572753906,129.83999633789062,131.5500030517578,555300.0
2014-09-29,129.69000244140625,129.69000244140625,128.9199981689453,130.4600067138672,498100.0
2014-09-30,130.00999450683594,128.94000244140625,128.35000610351562,130.52999877929688,584100.0
2014-10-01,128.64999389648438,125.4000015258789,124.51000213623047,128.64999389648438,1038100.0
2014-10-02,124.98999786376953,123.43000030517578,121.80000305175781,125.30999755859375,1157800.0
2014-10-03,123.77999877929688,122.88999938964844,122.69999694824219,124.44999694824219,598300.0
2014-10-06,123.0,120.91999816894531,120.0,123.4800033569336,1063900.0
2014-10-07,120.06999969482422,118.05999755859375,117.98999786376953,120.33000183105469,1012700.0
2014-10-08,117.79000091552734,118.69000244140625,114.6500015258789,118.79000091552734,1377500.0
2014-10-09,119.02999877929688,115.8499984741211,115.66000366210938,120.41000366210938,1305700.0
2014-10-10,115.58000183105469,112.0999984741211,112.06999969482422,116.08000183105469,1068200.0
2014-10-13,112.0,107.2699966430664,107.04000091552734,113.37999725341797,939900.0
2014-10-14,107.94000244140625,107.36000061035156,106.27999877929688,108.77999877929688,1226100.0
2014-10-15,105.22000122070312,109.30000305175781,105.08999633789062,109.91000366210938,1920900.0
2014-10-16,107.12000274658203,113.2699966430664,107.08000183105469,113.93000030517578,1290700.0
2014-10-17,115.0199966430664,117.70999908447266,114.62999725341797,118.33000183105469,1462000.0
2014-10-20,117.18000030517578,119.5999984741211,116.3499984741211,119.69999694824219,889600.0
2014-10-21,119.97000122070312,121.05999755859375,119.97000122070312,121.56999969482422,574300.0
2014-10-22,121.05000305175781,119.30000305175781,119.23999786376953,122.27999877929688,774800.0
2014-10-23,119.80000305175781,121.4800033569336,118.48999786376953,122.20999908447266,954500.0
2014-10-24,121.79000091552734,122.93000030517578,120.54000091552734,123.1500015258789,627600.0
2014-10-27,121.12999725341797,120.62000274658203,119.38999938964844,121.55999755859375,1613900.0
2014-10-28,114.86000061035156,116.9000015258789,111.7699966430664,119.44000244140625,3408500.0
2014-10-29,117.01000213623047,115.06999969482422,112.12000274658203,117.1500015258789,2695400.0
2014-10-30,114.41999816894531,115.4000015258789,114.12999725341797,116.70999908447266,960600.0
2014-10-31,116.69999694824219,116.91999816894531,115.77999877929688,117.33999633789062,935200.0
2014-11-03,117.75,117.48999786376953,116.62000274658203,118.19000244140625,875000.0
2014-11-04,117.26000213623047,117.12000274658203,115.36000061035156,117.5,1173600.0
2014-11-05,118.2699966430664,120.4800033569336,116.98999786376953,120.5999984741211,1195100.0
2014-11-06,120.91000366210938,122.80999755859375,120.62999725341797,122.86000061035156,857700.0
2014-11-07,122.9800033569336,123.80999755859375,122.73999786376953,124.33000183105469,634700.0
2014-11-10,123.44999694824219,124.83999633789062,123.44999694824219,124.9800033569336,527600.0
2014-11-11,124.6500015258789,125.56999969482422,124.61000061035156,126.33999633789062,577400.0
2014-11-12,125.26000213623047,126.31999969482422,124.79000091552734,127.11000061035156,578600.0
2014-11-13,126.2300033569336,124.62999725341797,124.05999755859375,126.98999786376953,554500.0
