Date,ppgopen,ppgclose,ppglow,ppghigh,ppgvolume
2018-10-18,99.2300033569336,98.98999786376953,97.4000015258789,100.62000274658203,3516100.0
2018-10-19,100.36000061035156,101.38999938964844,99.7699966430664,101.81999969482422,3417100.0
2018-10-22,101.61000061035156,101.66000366210938,99.81999969482422,101.83000183105469,3852000.0
2018-10-23,100.11000061035156,100.62999725341797,98.29000091552734,101.12000274658203,3073900.0
2018-10-24,99.9000015258789,97.77999877929688,97.54000091552734,100.58000183105469,2990900.0
2018-10-25,102.94000244140625,103.70999908447266,100.33999633789062,104.12999725341797,4542200.0
2018-10-26,102.58000183105469,102.83000183105469,101.06999969482422,103.94999694824219,2826000.0
2018-10-29,105.05000305175781,102.88999938964844,101.41000366210938,105.91000366210938,4258500.0
2018-10-30,102.9800033569336,104.22000122070312,102.12000274658203,104.61000061035156,3070700.0
2018-10-31,105.0,105.08999633789062,104.23999786376953,106.4800033569336,2595000.0
2018-11-01,105.08999633789062,106.73999786376953,105.08999633789062,107.37999725341797,1476900.0
2018-11-02,106.87000274658203,106.91000366210938,105.61000061035156,107.9800033569336,1315500.0
2018-11-05,106.8499984741211,106.44999694824219,105.94999694824219,107.22000122070312,1474800.0
2018-11-06,106.66000366210938,107.36000061035156,106.27999877929688,107.43000030517578,934600.0
2018-11-07,108.0,109.52999877929688,106.61000061035156,109.56999969482422,1299900.0
2018-11-08,108.5199966430664,108.66999816894531,105.72000122070312,108.94999694824219,1028800.0
2018-11-09,108.19999694824219,107.70999908447266,106.36000061035156,108.58999633789062,897300.0
