Date,ahpiopen,ahpiclose,ahpilow,ahpihigh,ahpivolume
2014-05-27,4.820000171661377,5.380000114440918,4.800000190734863,5.380000114440918,6000.0
2014-05-28,5.440000057220459,5.21999979019165,4.840000152587891,5.440000057220459,5100.0
2014-05-29,5.21999979019165,4.820000171661377,4.800000190734863,5.420000076293945,4400.0
2014-05-30,4.860000133514404,5.039999961853027,4.800000190734863,5.420000076293945,1400.0
2014-06-02,5.019999980926514,4.699999809265137,4.699999809265137,5.019999980926514,2600.0
2014-06-03,4.599999904632568,4.380000114440918,4.380000114440918,4.639999866485596,3600.0
2014-06-04,4.440000057220459,4.199999809265137,4.039999961853027,4.440000057220459,20600.0
2014-06-05,4.239999771118164,4.300000190734863,4.099999904632568,4.300000190734863,500.0
2014-06-06,4.21999979019165,4.559999942779541,4.21999979019165,4.820000171661377,8600.0
2014-06-09,4.78000020980835,4.78000020980835,4.78000020980835,4.78000020980835,500.0
2014-06-10,4.559999942779541,4.619999885559082,4.559999942779541,4.619999885559082,1800.0
2014-06-11,4.599999904632568,4.800000190734863,4.599999904632568,4.800000190734863,500.0
2014-06-12,4.800000190734863,4.800000190734863,4.800000190734863,4.800000190734863,0.0
2014-06-13,4.800000190734863,4.800000190734863,4.800000190734863,4.800000190734863,0.0
2014-06-16,4.800000190734863,4.800000190734863,4.800000190734863,4.800000190734863,0.0
2014-06-17,4.800000190734863,4.539999961853027,4.539999961853027,4.820000171661377,15200.0
2014-06-18,4.760000228881836,4.619999885559082,4.619999885559082,4.900000095367432,2400.0
2014-06-19,4.78000020980835,4.78000020980835,4.78000020980835,4.78000020980835,300.0
2014-06-20,4.860000133514404,4.78000020980835,4.519999980926514,4.860000133514404,2200.0
2014-06-23,4.760000228881836,4.739999771118164,4.599999904632568,4.760000228881836,800.0
2014-06-24,4.739999771118164,4.739999771118164,4.739999771118164,4.739999771118164,0.0
2014-06-25,4.739999771118164,4.739999771118164,4.739999771118164,4.739999771118164,0.0
2014-06-26,4.539999961853027,4.960000038146973,4.539999961853027,4.960000038146973,6900.0
2014-06-27,4.960000038146973,4.699999809265137,4.699999809265137,4.960000038146973,300.0
2014-06-30,4.71999979019165,4.840000152587891,4.679999828338623,4.840000152587891,3300.0
