Date,cohropen,cohrclose,cohrlow,cohrhigh,cohrvolume
2008-07-25,32.93000030517578,33.349998474121094,32.5099983215332,33.72999954223633,109900.0
2008-07-28,33.13999938964844,33.16999816894531,32.84000015258789,33.77000045776367,99500.0
2008-07-29,33.2400016784668,33.75,33.06999969482422,33.95000076293945,90700.0
2008-07-30,33.7400016784668,31.799999237060547,31.770000457763672,33.790000915527344,173300.0
2008-07-31,33.86000061035156,34.5,33.150001525878906,35.70000076293945,427000.0
2008-08-01,34.5,34.09000015258789,33.779998779296875,34.630001068115234,287800.0
2008-08-04,33.939998626708984,34.04999923706055,32.029998779296875,34.38999938964844,184000.0
2008-08-05,34.220001220703125,34.439998626708984,33.93000030517578,34.880001068115234,203100.0
2008-08-06,34.18000030517578,35.75,34.18000030517578,35.95000076293945,255100.0
2008-08-07,35.41999816894531,35.709999084472656,35.029998779296875,36.22999954223633,188700.0
2008-08-08,35.84000015258789,37.349998474121094,35.13999938964844,37.81999969482422,176800.0
2008-08-11,37.279998779296875,37.11000061035156,36.70000076293945,37.400001525878906,169500.0
2008-08-12,36.63999938964844,37.38999938964844,36.439998626708984,37.5,197100.0
2008-08-13,37.220001220703125,37.83000183105469,36.75,38.0,253900.0
2008-08-14,37.5,38.11000061035156,37.47999954223633,38.5,131400.0
2008-08-15,38.43000030517578,36.45000076293945,35.529998779296875,38.47999954223633,354600.0
2008-08-18,36.54999923706055,36.86000061035156,36.38999938964844,37.0,177600.0
2008-08-19,36.790000915527344,36.220001220703125,35.90999984741211,36.849998474121094,97000.0
2008-08-20,36.08000183105469,35.779998779296875,35.27000045776367,36.5,127500.0
2008-08-21,35.29999923706055,35.38999938964844,34.79999923706055,35.97999954223633,85100.0
2008-08-22,35.61000061035156,35.54999923706055,34.959999084472656,35.91999816894531,80500.0
2008-08-25,35.2599983215332,35.02000045776367,34.619998931884766,36.470001220703125,100200.0
2008-08-26,34.939998626708984,35.38999938964844,34.849998474121094,35.81999969482422,92900.0
2008-08-27,35.459999084472656,35.970001220703125,35.41999816894531,36.439998626708984,263800.0
