Date,txmdopen,txmdclose,txmdlow,txmdhigh,txmdvolume
2018-04-19,5.820000171661377,5.849999904632568,5.760000228881836,5.940000057220459,2064000
2018-04-20,5.809999942779541,5.710000038146973,5.679999828338623,5.849999904632568,1253500
2018-04-23,5.690000057220459,5.679999828338623,5.599999904632568,5.78000020980835,957500
2018-04-24,5.730000019073486,5.610000133514404,5.570000171661377,5.769999980926514,1297900
2018-04-25,5.590000152587891,5.510000228881836,5.5,5.650000095367432,1528200
2018-04-26,5.519999980926514,5.559999942779541,5.519999980926514,5.639999866485596,2308400
2018-04-27,5.590000152587891,5.570000171661377,5.550000190734863,5.670000076293945,3119400
2018-04-30,5.579999923706055,5.5,5.5,5.690000057220459,2496100
2018-05-01,5.510000228881836,5.760000228881836,5.449999809265137,5.800000190734863,4431300
2018-05-02,5.710000038146973,5.889999866485596,5.670000076293945,6.0,2094800
2018-05-03,5.849999904632568,5.659999847412109,5.599999904632568,5.940000057220459,1813700
2018-05-04,5.699999809265137,6.019999980926514,5.550000190734863,6.070000171661377,2754600
2018-05-07,6.010000228881836,6.25,5.980000019073486,6.389999866485596,3003400
2018-05-08,6.269999980926514,6.179999828338623,6.150000095367432,6.329999923706055,3692100
2018-05-09,6.179999828338623,6.050000190734863,6.039999961853027,6.260000228881836,4431000
2018-05-10,6.099999904632568,5.980000019073486,5.940000057220459,6.21999979019165,2755000
2018-05-11,6.019999980926514,6.050000190734863,5.929999828338623,6.090000152587891,1497900
2018-05-14,6.070000171661377,5.940000057220459,5.909999847412109,6.119999885559082,1844200
2018-05-15,5.920000076293945,5.96999979019165,5.820000171661377,6.059999942779541,1992800
2018-05-16,6.0,5.920000076293945,5.880000114440918,6.010000228881836,1319800
2018-05-17,5.940000057220459,6.099999904632568,5.900000095367432,6.130000114440918,2346700
2018-05-18,6.119999885559082,6.300000190734863,6.090000152587891,6.349999904632568,2705800
2018-05-21,6.369999885559082,6.159999847412109,6.090000152587891,6.449999809265137,2047300
