Date,osisopen,osisclose,osislow,osishigh,osisvolume
2017-06-27,74.83999633789062,74.0,73.77999877929688,75.02999877929688,123700
2017-06-28,74.54000091552734,75.2300033569336,73.77999877929688,75.51000213623047,96100
2017-06-29,75.5,75.0,74.37999725341797,75.7699966430664,136900
2017-06-30,75.30999755859375,75.1500015258789,74.73999786376953,76.44000244140625,139700
2017-07-03,75.48999786376953,76.26000213623047,75.27999877929688,77.11000061035156,116200
2017-07-05,76.26000213623047,76.0999984741211,75.56999969482422,77.16999816894531,119200
2017-07-06,75.61000061035156,75.05999755859375,74.95999908447266,75.69000244140625,154900
2017-07-07,75.3499984741211,76.62999725341797,75.19999694824219,76.83999633789062,196400
2017-07-10,76.37999725341797,76.25,75.45999908447266,76.80000305175781,92500
2017-07-11,76.44000244140625,76.66000366210938,76.36000061035156,77.4000015258789,134300
2017-07-12,77.23999786376953,77.7300033569336,76.69999694824219,78.33999633789062,176500
2017-07-13,77.72000122070312,77.97000122070312,76.86000061035156,78.4000015258789,186000
2017-07-14,77.7300033569336,78.26000213623047,77.44999694824219,78.62999725341797,99000
2017-07-17,78.25,78.02999877929688,77.0999984741211,78.55000305175781,69100
2017-07-18,77.66000366210938,77.4800033569336,77.0,78.08999633789062,83400
2017-07-19,77.5199966430664,78.5999984741211,77.4800033569336,78.76000213623047,59500
2017-07-20,78.4800033569336,78.91000366210938,78.41000366210938,79.33000183105469,60700
2017-07-21,79.16999816894531,78.56999969482422,78.4000015258789,79.16999816894531,59700
2017-07-24,78.5,79.37000274658203,78.5,79.62999725341797,80300
2017-07-25,80.0,79.98999786376953,79.61000061035156,80.05999755859375,71900
2017-07-26,80.25,79.9000015258789,79.31999969482422,80.25,57800
2017-07-27,80.25,79.58999633789062,78.37000274658203,80.52999877929688,97500
2017-07-28,79.16000366210938,79.61000061035156,78.83999633789062,80.19999694824219,69700
2017-07-31,79.5999984741211,79.97000122070312,79.08999633789062,80.86000061035156,156300
2017-08-01,80.41999816894531,80.72000122070312,79.94000244140625,81.51000213623047,69900
2017-08-02,80.83999633789062,78.87999725341797,78.6500015258789,80.83999633789062,86000
2017-08-03,78.87000274658203,79.12000274658203,78.58000183105469,79.38999938964844,46200
2017-08-04,79.13999938964844,79.30000305175781,79.01000213623047,79.76000213623047,41800
2017-08-07,79.27999877929688,79.87999725341797,79.06999969482422,80.2699966430664,37100
2017-08-08,80.01000213623047,79.3499984741211,79.23999786376953,81.0999984741211,40600
2017-08-09,79.11000061035156,79.5999984741211,78.45999908447266,80.29000091552734,121900
2017-08-10,79.8499984741211,80.5999984741211,79.66999816894531,81.44000244140625,97400
2017-08-11,80.97000122070312,80.9800033569336,79.58999633789062,81.30000305175781,91400
2017-08-14,81.54000091552734,82.11000061035156,80.79000091552734,82.23999786376953,135700
2017-08-15,82.2300033569336,81.56999969482422,81.4000015258789,83.54000091552734,215200
2017-08-16,81.41000366210938,80.13999938964844,79.87000274658203,81.91999816894531,76500
2017-08-17,80.06999969482422,78.8499984741211,78.72000122070312,80.26000213623047,111500
2017-08-18,78.47000122070312,78.43000030517578,78.08999633789062,79.30000305175781,78300
2017-08-21,78.4800033569336,78.37000274658203,77.54000091552734,78.6500015258789,71900
