Date,abcdopen,abcdclose,abcdlow,abcdhigh,abcdvolume
2015-06-04,4.139999866485596,4.110000133514404,4.050000190734863,4.150000095367432,22300
2015-06-05,4.150000095367432,4.199999809265137,4.139999866485596,4.25,116500
2015-06-08,4.150000095367432,4.269999980926514,4.150000095367432,4.289999961853027,60800
2015-06-09,4.269999980926514,4.269999980926514,4.25,4.28000020980835,45800
2015-06-10,4.25,4.300000190734863,4.230000019073486,4.360000133514404,106700
2015-06-11,4.289999961853027,4.25,4.25,4.309999942779541,35900
2015-06-12,4.269999980926514,4.28000020980835,4.199999809265137,4.300000190734863,64000
2015-06-15,4.25,4.239999771118164,4.110000133514404,4.300000190734863,75600
2015-06-16,4.260000228881836,4.210000038146973,4.119999885559082,4.269999980926514,52200
2015-06-17,4.239999771118164,4.190000057220459,4.130000114440918,4.25,44300
2015-06-18,4.170000076293945,4.239999771118164,4.170000076293945,4.300000190734863,71700
2015-06-19,4.25,4.159999847412109,4.119999885559082,4.25,43900
2015-06-22,4.159999847412109,4.179999828338623,4.150000095367432,4.21999979019165,19900
2015-06-23,4.159999847412109,4.239999771118164,4.159999847412109,4.25,42700
2015-06-24,4.239999771118164,4.210000038146973,4.159999847412109,4.320000171661377,36400
2015-06-25,4.239999771118164,4.230000019073486,4.170000076293945,4.289999961853027,124500
2015-06-26,4.230000019073486,4.079999923706055,4.070000171661377,4.28000020980835,1496100
2015-06-29,4.050000190734863,4.210000038146973,3.930000066757202,4.25,116200
2015-06-30,4.25,4.269999980926514,4.210000038146973,4.340000152587891,97500
2015-07-01,4.260000228881836,4.260000228881836,4.199999809265137,4.28000020980835,40000
2015-07-02,4.269999980926514,4.179999828338623,4.150000095367432,4.269999980926514,20500
2015-07-06,4.179999828338623,4.550000190734863,4.070000171661377,4.570000171661377,629700
2015-07-07,4.75,4.659999847412109,4.570000171661377,4.820000171661377,488400
2015-07-08,4.71999979019165,4.710000038146973,4.659999847412109,4.849999904632568,306000
2015-07-09,4.769999980926514,4.730000019073486,4.679999828338623,4.889999866485596,221200
2015-07-10,4.789999961853027,4.769999980926514,4.71999979019165,4.849999904632568,184500
2015-07-13,4.800000190734863,4.840000152587891,4.789999961853027,4.940000057220459,219300
2015-07-14,4.960000038146973,4.949999809265137,4.860000133514404,5.0,144400
2015-07-15,4.980000019073486,4.840000152587891,4.829999923706055,5.110000133514404,209400
2015-07-16,4.909999847412109,4.880000114440918,4.869999885559082,5.110000133514404,111500
2015-07-17,4.900000095367432,5.03000020980835,4.900000095367432,5.050000190734863,60800
2015-07-20,5.070000171661377,4.980000019073486,4.929999828338623,5.070000171661377,90500
